Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,133.000000,159.699997,131.199997,147.699997,110.840385,397362394
2021-06-01,148.550003,165.000000,143.500000,146.649994,110.052422,420559096
2021-07-01,146.600006,150.699997,141.050003,143.300003,107.538452,159747548
2021-08-01,144.300003,148.449997,132.750000,145.850006,109.452057,185651759
2021-09-01,146.600006,197.000000,141.199997,185.100006,138.906937,464649828
2021-10-01,185.399994,203.800003,163.300003,164.449997,126.480209,435908974
2021-11-01,165.000000,174.199997,149.100006,152.000000,116.904770,276042759
2021-12-01,153.600006,160.699997,139.149994,146.050003,112.328583,224566231
2022-01-01,147.250000,168.250000,147.000000,159.800003,130.241394,236859726
2022-02-01,162.000000,170.300003,149.000000,169.550003,138.187912,258456678
2022-03-01,169.550003,197.750000,169.550003,183.050003,153.786911,483313899
2022-04-01,183.800003,209.000000,181.899994,182.850006,153.618896,436474466
2022-05-01,182.699997,195.250000,164.649994,192.899994,162.062256,302107162
2022-06-01,194.500000,201.949997,174.750000,185.600006,155.929276,287285796
2022-07-01,185.000000,212.449997,176.600006,211.250000,177.478745,179944190
2022-08-01,212.500000,235.500000,205.750000,234.800003,197.263947,243800854
2022-09-01,234.350006,240.500000,207.850006,212.250000,180.785843,175493121
2022-10-01,213.000000,247.800003,212.300003,245.949997,209.490097,179230764
2022-11-01,247.000000,263.399994,226.350006,227.250000,193.562225,252045644
2022-12-01,228.399994,234.449997,214.199997,225.050003,204.071304,128039944
2023-01-01,226.750000,232.000000,211.100006,224.850006,203.889954,148592672
2023-02-01,228.000000,228.000000,209.149994,215.399994,195.320862,150155080
2023-03-01,215.399994,226.949997,207.600006,213.649994,198.476837,134526875
2023-04-01,214.100006,234.750000,213.800003,233.100006,216.545547,78406292
2023-05-01,233.100006,247.899994,230.000000,241.250000,224.116730,110257881
2023-06-01,230.399994,233.399994,223.250000,231.000000,214.594666,240675707
2023-07-01,231.500000,237.300003,226.850006,229.250000,212.968964,167551601
2023-08-01,230.000000,243.149994,227.000000,230.050003,213.712143,206982882
2023-09-01,230.699997,297.500000,230.649994,295.200012,279.040131,363136949
2023-10-01,295.200012,319.750000,283.049988,314.250000,297.047241,184053822
2023-11-01,313.200012,359.000000,305.850006,342.149994,323.419922,269218127
2023-12-01,343.799988,382.500000,342.299988,376.000000,371.717987,287174759
2024-01-01,377.799988,415.799988,368.000000,406.149994,401.524628,291890363
2024-02-01,408.799988,487.600006,402.500000,436.700012,431.726746,371241414
2024-03-01,438.000000,465.399994,401.200012,434.100006,434.100006,215608345
2024-04-01,436.700012,463.450012,428.049988,454.299988,454.299988,163365405
2024-05-01,454.299988,507.350006,434.700012,491.200012,491.200012,354260833
2024-06-01,515.000000,527.400024,410.799988,479.149994,479.149994,121503997
