Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,487.950012,545.000000,477.799988,539.049988,531.285950,201507955
2021-06-01,541.900024,564.000000,533.000000,545.650024,537.791016,129675603
2021-07-01,545.000000,601.799988,522.599976,587.150024,578.693237,208298985
2021-08-01,588.200012,642.799988,582.250000,640.950012,631.718384,126302610
2021-09-01,643.799988,699.150024,627.349976,634.099976,624.967041,127511209
2021-10-01,634.799988,739.849976,630.200012,646.750000,637.434814,198810037
2021-11-01,651.099976,668.750000,603.950012,637.250000,628.071655,96860653
2021-12-01,642.599976,719.900024,623.000000,715.349976,705.046753,187339442
2022-01-01,718.000000,726.799988,537.200012,572.599976,564.352844,225871043
2022-02-01,579.900024,590.000000,531.150024,555.799988,548.686646,159048679
2022-03-01,555.799988,616.000000,550.400024,591.900024,584.324646,166011264
2022-04-01,591.700012,609.500000,507.000000,508.799988,502.288177,121748127
2022-05-01,515.500000,519.000000,443.200012,478.049988,475.860535,177188540
2022-06-01,478.950012,488.000000,402.049988,416.049988,414.144501,164437339
2022-07-01,415.000000,424.700012,391.000000,423.700012,421.759521,158856598
2022-08-01,426.200012,444.899994,399.000000,413.549988,411.655945,126904546
2022-09-01,409.899994,426.000000,384.600006,394.250000,392.444366,153240991
2022-10-01,393.899994,417.899994,372.399994,386.549988,384.779602,155894744
2022-11-01,388.000000,409.450012,384.500000,406.899994,405.036438,115037832
2022-12-01,412.850006,416.350006,376.299988,392.750000,390.951233,109828778
2023-01-01,393.000000,410.200012,381.399994,398.850006,397.023285,103241385
2023-02-01,401.500000,413.250000,385.450012,387.049988,386.226288,67768070
2023-03-01,388.100006,396.649994,355.000000,365.250000,364.472717,70587118
2023-04-01,367.950012,388.000000,352.000000,385.000000,384.180664,74491298
2023-05-01,385.000000,406.000000,379.000000,403.649994,402.790985,82119227
2023-06-01,405.000000,409.799988,377.100006,389.149994,388.321838,125895498
2023-07-01,393.899994,424.950012,387.850006,405.049988,404.187988,133198132
2023-08-01,405.500000,422.149994,397.049988,408.399994,407.530853,89878246
2023-09-01,407.950012,443.750000,401.500000,406.049988,405.185852,122356840
2023-10-01,406.049988,423.950012,375.049988,381.799988,380.987457,86138382
2023-11-01,383.850006,414.500000,377.000000,413.049988,412.170959,83436868
2023-12-01,413.750000,477.399994,402.100006,471.299988,470.296997,205268152
2024-01-01,473.000000,529.000000,446.700012,478.149994,477.132446,232719438
2024-02-01,477.549988,545.900024,470.600006,518.599976,518.599976,179696474
2024-03-01,522.400024,526.400024,471.250000,480.100006,480.100006,110990349
2024-04-01,483.700012,491.950012,437.000000,462.399994,462.399994,138099164
2024-05-01,462.399994,470.500000,435.100006,438.200012,438.200012,125220736
2024-06-01,450.200012,486.399994,417.000000,484.549988,484.549988,63530296
